country_long,,estimated_generation_gwh
Poland,14112,7542.3309861429625
Poland,14105,6896.452501695791
Poland,14122,6365.302432249104
Poland,14095,6339.807228915663
Poland,13949,5787.411156691107
Poland,14083,5715.1747472463585
Poland,14108,5286.0054911334355
Portugal,14512,7831.037411526794
Portugal,14295,4637.417812313213
Portugal,14408,4120.962588473205
Portugal,14146,3745.606694560672
Portugal,14453,2098.9250457038393
Portugal,14532,1766.9522068425174
Portugal,14406,1493.8777748759467
Portugal,14325,1474.2449725776964
Portugal,14145,620.4573956008604
Portugal,14252,589.0041951865754
Qatar,14605,10014.141069397043
Qatar,14597,7362.044368600684
Qatar,14598,4952.047781569965
Qatar,14604,3759.88813045127
Qatar,14603,2773.146757679181
Qatar,14599,2296.282897231703
Qatar,14600,2233.9237770193404
Qatar,14602,2079.8600682593856
Qatar,14601,1379.237011755783
Qatar,14595,1104.123246113007
Romania,14619,11676.0
Romania,14609,6717.911164465786
Romania,14635,5059.962114689168
Romania,14621,4047.9696917513343
Romania,14637,3951.932642487047
Romania,14618,3296.6419838126403
Romania,14607,2945.234093637455
Romania,14627,2079.1885441527447
Romania,14611,1938.4153661464584
Romania,14617,1931.9855346995005
Russia,14693,29966.713595627665
Russia,14653,25668.418063050267
Russia,14822,25668.418063050267
Russia,14868,25668.418063050267
Russia,14873,25668.418063050267
Russia,14976,25668.418063050267
Russia,14860,23312.40250362788
Russia,15009,19251.313547287704
Russia,14862,18959.607898815397
Russia,14957,17711.433712143382
Saudi Arabia,15199,20816.3723584541
Saudi Arabia,15151,19677.547930388046
Saudi Arabia,15154,18947.037457408413
Saudi Arabia,15179,17781.91948784596
Saudi Arabia,15171,13599.053507436643
Saudi Arabia,15181,13322.907260268756
Saudi Arabia,15178,11558.710015500496
Saudi Arabia,15196,11081.026239562134
Saudi Arabia,15188,9683.902655262524
Saudi Arabia,15195,9579.488982126315
Senegal,15222,2166.5157505420225
Senegal,15220,653.2674403775028
Senegal,15225,323.0
Senegal,15221,125.88317816605024
Senegal,15223,101.76661140160692
Senegal,15224,69.56701951281723
Serbia,15236,6887.065373563219
Serbia,15227,5278.687029288703
Serbia,15237,5055.822557471264
